locality,listing_count
Cheemasandra,2
Chikka Banaswadi,2
Chikka Begur,2
Chikka Thirupati Road,2
Chikkadunnasandra,2
Chikkanna Layout,2
Chola Nagar,2
Choudadenahalli,2
Chunchgatta,2
Classic Orchards Layout,2
Cleveland Town,2
Coffee Board layout,2
Commercial Street,2
Concorde Silicon Valley,2
CSB Layout,2
Cubbon Road,2
D Group Employees Layout,2
D Group Layout,2
Devara jeevanahalli,2
Devasandra Extension,2
Devinagar,2
Doddaballapura Main Road,2
Doddagubbi Main Road,2
Doddakammanahalli,2
Doddakammanahalli Main Road,2
Doddamavalli,2
Doddanagamangala Road,2
Dollar Layout Stage 2 BTM Layout,2
Dommasandra Sonnenahalli,2
Duo Heights Layout,2
Dwaraka Nagar,2
Edward Road,2
Eshwara Layout-Indira nagar,2
Ex Service Men Colony,2
Ferns City,2
Gantiganahalli,2
Garden Villas,2
Gattigere,2
GKVK Layout,2
Gopasandra,2
Goraguntepalya,2
Gowdanapalya,2
Green Garden Phase 2,2
Gudigattanahalli,2
HAL,2
HAL Stage 2,2
Halehalli,2
Harohalli,2
HBR Layout stage 1,2
Heelalige,2
Hegganahalli,2
Hemmigepura,2
Hesaraghatta,2
Hirandahalli,2
HMT Layout,2
Horamavu Banaswadi,2
Horamavu Main Road,2
Hosapalaya,2
Hulimangala,2
Hulimangala Road,2
Hurulichikanahalli,2
ITPL Main Road,2
Jakkuru,2
Jivanahalli,2
Jyothi Nagar,2
Kamakshipalya,2
kangeri Sattelite Town Stage 2,2
Kanka Nagar,2
Kariyammana Agrahara,2
Karuna Nagar,2
Kaveri Layout,2
Kaveri Layout Kodigehalli,2
Kempanna Layout,2
Kenchenhalli,2
Kengeri Main Road,2
Kereguddadahalli,2
KG Colony,2
Kithaganur Colony,2
Kodigehalli Thindlu Main Road,2
Kogilu Main Road,2
Kommaghatta,2
Konadasapura,2
Konena Agrahara Murgesh Pallya,2
Kothnoor Dinne,2
Krishnapuram,2
Kumbena Agrahara,2
Lakeview Residency,2
Lakkasandra,2
Lakshmi Layout Arekere,2
Laljinagar,2
Langford Gardens,2
LBS Nagar,2
M Vishweshwaraya Layout,2
Madavara,2
Magadi Main Road,2
Mahalakshmipuram Layout,2
Majestic,2
Mandur,2
Mangammanapalya,2
Manipal County Road,2
Manjunatha Nagar-Bagalakunte,2
Manyata Tech Park Road,2
Marenahalli,2
Mariyappa Layout Kadubeesanahalli,2
Maruthi Nagar Dasarahalli,2
MCECHS Layout,2
Mico Layout BTM Layout,2
Mission Road,2
